#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:27:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551eab8420f3	
#INFO	-out.max=9999	
#INFO	queryParameters=16	
#-oc.form=sexa
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=Vmag
#Vmag=<4
#-out=SAO
#-out=HD
#-out=BFno
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	_RAJ2000	(A12)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A12)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	BFno	(a9)	Bayer or Flamsteed number	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
_RAJ2000	_DEJ2000	Vmag	SAO	HD	BFno	name
"h:m:s"	"d:m:s"	mag	 	 	 	
------------	------------	-----	------	------	---------	--------------------
00 08 23.265	+29 05 25.58	 2.06	 73765	   358	ALP  AND 	ALPHERATZ
00 09 10.695	+59 08 59.18	 2.27	 21133	   432	BET  CAS 	CAPH
00 09 24.659	-45 44 50.79	 3.88	214983	   496	EPS  PHE 	
00 13 14.154	+15 11 00.80	 2.83	 91781	   886	GAM  PEG 	ALGENIB
00 19 25.674	-08 49 26.14	 3.56	128694	  1522	IOT  CET 	
00 25 45.056	-77 15 15.40	 2.80	255670	  2151	BET  HYI 	
00 26 17.030	-42 18 21.81	 2.39	215093	  2261	ALP  PHE 	ANKAA
00 36 58.291	+53 53 48.92	 3.66	 21566	  3360	ZET  CAS 	
00 39 19.697	+30 51 39.43	 3.27	 54058	  3627	DEL  AND 	
00 40 30.450	+56 32 14.46	 2.23	 21609	  3712	ALP  CAS 	SCHEDAR
00 43 35.372	-17 59 11.82	 2.04	147420	  4128	BET  CET 	DIPHDA; DENEB KAITOS
00 56 42.525	+60 43 00.19	 1.60	 11482	  5394	GAM  CAS 	
00 56 45.215	+38 29 57.60	 3.87	 54281	  5448	MU   AND 	
01 08 35.396	-10 10 56.17	 3.45	147632	  6805	ETA  CET 	
01 09 43.931	+35 37 13.95	 2.06	 54471	  6860	BET  AND 	MIRACH
01 24 01.406	-08 11 00.29	 3.60	129274	  8512	THE  CET 	
01 25 48.959	+60 14 06.96	 2.68	 22268	  8538	DEL  CAS 	RUCHBAH
01 28 21.942	-43 19 05.66	 3.41	215516	  9053	GAM  PHE 	
01 31 15.120	-49 04 21.77	 3.95	215536	  9362	         	
01 31 29.013	+15 20 44.81	 3.62	 92484	  9270	ETA  PSC 	
01 37 42.852	-57 14 12.18	 0.46	232481	 10144	ALP  ERI 	ACHERNAR
01 37 59.561	+48 37 41.55	 3.57	 37375	  9927	51   AND 	
